SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
393;07/06/2023;00:09:16;25.37;;;;393;07/06/2023;00:10:32;25.49;;;;393;06/06/2023;00:17:56;24.68;;;;
394;07/06/2023;00:10:16;25.37;;;;394;07/06/2023;00:11:32;25.5;;;;394;06/06/2023;00:18:56;24.7;;;;
395;07/06/2023;00:11:16;25.37;;;;395;07/06/2023;00:12:32;25.48;;;;395;06/06/2023;00:19:56;24.7;;;;
396;07/06/2023;00:12:16;25.36;;;;396;07/06/2023;00:13:32;25.51;;;;396;06/06/2023;00:20:56;24.7;;;;
397;07/06/2023;00:13:17;25.36;;;;397;07/06/2023;00:14:32;25.5;;;;397;06/06/2023;00:21:56;24.71;;;;
398;07/06/2023;00:14:17;25.36;;;;398;07/06/2023;00:15:32;25.52;;;;398;06/06/2023;00:22:56;24.7;;;;
399;07/06/2023;00:15:17;25.37;;;;399;07/06/2023;00:16:32;25.49;;;;399;06/06/2023;00:23:56;24.7;;;;
400;07/06/2023;00:16:17;25.37;;;;400;07/06/2023;00:17:32;25.49;;;;400;06/06/2023;00:24:56;24.71;;;;
401;07/06/2023;00:17:17;25.36;;;;401;07/06/2023;00:18:32;25.5;;;;401;06/06/2023;00:25:56;24.7;;;;
402;07/06/2023;00:18:17;25.36;;;;402;07/06/2023;00:19:32;25.48;;;;402;06/06/2023;00:26:56;24.7;;;;
403;07/06/2023;00:19:17;25.37;;;;403;07/06/2023;00:20:32;25.48;;;;403;06/06/2023;00:27:56;24.69;;;;
404;07/06/2023;00:20:17;25.37;;;;404;07/06/2023;00:21:31;25.49;;;;404;06/06/2023;00:28:56;24.7;;;;
405;07/06/2023;00:21:17;25.35;;;;405;07/06/2023;00:22:31;25.49;;;;405;06/06/2023;00:29:56;24.7;;;;
406;07/06/2023;00:22:17;25.37;;;;406;07/06/2023;00:23:31;25.5;;;;406;06/06/2023;00:30:56;24.68;;;;
407;07/06/2023;00:23:17;25.36;;;;407;07/06/2023;00:24:31;25.48;;;;407;06/06/2023;00:31:56;24.7;;;;
408;07/06/2023;00:24:17;25.34;;;;408;07/06/2023;00:25:31;25.49;;;;408;06/06/2023;00:32:56;24.7;;;;
409;07/06/2023;00:25:17;25.34;;;;409;07/06/2023;00:26:31;25.48;;;;409;06/06/2023;00:33:56;24.7;;;;
410;07/06/2023;00:26:17;25.34;;;;410;07/06/2023;00:27:31;25.48;;;;410;06/06/2023;00:34:57;24.71;;;;
411;07/06/2023;00:27:17;25.34;;;;411;07/06/2023;00:28:31;25.49;;;;411;06/06/2023;00:35:57;24.71;;;;
412;07/06/2023;00:28:17;25.32;;;;412;07/06/2023;00:29:31;25.48;;;;412;06/06/2023;00:36:57;24.69;;;;
413;07/06/2023;00:29:17;25.37;;;;413;07/06/2023;00:30:31;25.47;;;;413;06/06/2023;00:37:57;24.7;;;;
414;07/06/2023;00:30:17;25.35;;;;414;07/06/2023;00:31:31;25.48;;;;414;06/06/2023;00:38:57;24.7;;;;
415;07/06/2023;00:31:17;25.32;;;;415;07/06/2023;00:32:31;25.47;;;;415;06/06/2023;00:39:57;24.7;;;;
416;07/06/2023;00:32:17;25.34;;;;416;07/06/2023;00:33:31;25.47;;;;416;06/06/2023;00:40:57;24.7;;;;
417;07/06/2023;00:33:17;25.32;;;;417;07/06/2023;00:34:31;25.48;;;;417;06/06/2023;00:41:57;24.7;;;;
418;07/06/2023;00:34:17;25.36;;;;418;07/06/2023;00:35:31;25.48;;;;418;06/06/2023;00:42:57;24.69;;;;
419;07/06/2023;00:35:17;25.34;;;;419;07/06/2023;00:36:31;25.45;;;;419;06/06/2023;00:43:57;24.7;Synchronized;;;
420;07/06/2023;00:36:17;25.31;;;;420;07/06/2023;00:37:31;25.45;;;;420;06/06/2023;00:44:57;24.67;;;;
421;07/06/2023;00:37:17;25.35;;;;421;07/06/2023;00:38:31;25.48;;;;421;06/06/2023;00:45:57;24.68;Synchronized;;;
422;07/06/2023;00:38:17;25.34;;;;422;07/06/2023;00:39:30;25.46;;;;422;06/06/2023;00:46:57;24.7;;;;
423;07/06/2023;00:39:17;25.34;;;;423;07/06/2023;00:40:30;25.48;;;;423;06/06/2023;00:47:57;24.7;Synchronized;;;
424;07/06/2023;00:40:17;25.32;;;;424;07/06/2023;00:41:30;25.47;;;;424;06/06/2023;00:48:57;24.7;;;;
425;07/06/2023;00:41:17;25.32;;;;425;07/06/2023;00:42:30;25.45;Synchronized;;;425;06/06/2023;00:49:57;24.7;;;;
426;07/06/2023;00:42:17;25.31;;;;426;07/06/2023;00:43:30;25.46;;;;426;06/06/2023;00:50:57;24.69;;;;
427;07/06/2023;00:43:17;25.32;;;;427;07/06/2023;00:44:30;25.45;;;;427;06/06/2023;00:51:57;24.68;;;;
428;07/06/2023;00:44:17;25.31;;;;428;07/06/2023;00:45:30;25.46;;;;428;06/06/2023;00:52:58;24.69;;;;
429;07/06/2023;00:45:17;25.3;;;;429;07/06/2023;00:46:30;25.44;;;;429;06/06/2023;00:53:58;24.68;;;;
430;07/06/2023;00:46:17;25.29;;;;430;07/06/2023;00:47:30;25.44;;;;430;06/06/2023;00:54:58;24.7;;;;
431;07/06/2023;00:47:17;25.3;;;;431;07/06/2023;00:48:30;25.44;;;;431;06/06/2023;00:55:58;24.7;;;;
432;07/06/2023;00:48:17;25.29;;;;432;07/06/2023;00:49:30;25.43;;;;432;06/06/2023;00:56:58;24.68;;;;
433;07/06/2023;00:49:17;25.29;;;;433;07/06/2023;00:50:30;25.43;;;;433;06/06/2023;00:57:58;24.66;;;;
434;07/06/2023;00:50:17;25.29;;;;434;07/06/2023;00:51:30;25.45;;;;434;06/06/2023;00:58:58;24.69;;;;
435;07/06/2023;00:51:17;25.3;;;;435;07/06/2023;00:52:30;25.45;;;;435;06/06/2023;00:59:58;24.68;;;;
436;07/06/2023;00:52:17;25.3;;;;436;07/06/2023;00:53:30;25.45;;;;436;06/06/2023;01:00:58;24.67;;;;
437;07/06/2023;00:53:17;25.29;;;;437;07/06/2023;00:54:30;25.45;;;;437;06/06/2023;01:01:58;24.7;;;;
438;07/06/2023;00:54:17;25.3;;;;438;07/06/2023;00:55:30;25.45;;;;438;06/06/2023;01:02:58;24.69;;;;
439;07/06/2023;00:55:17;25.3;;;;439;07/06/2023;00:56:30;25.45;;;;439;06/06/2023;01:03:58;24.7;;;;
440;07/06/2023;00:56:17;25.3;;;;440;07/06/2023;00:57:30;25.43;;;;440;06/06/2023;01:04:58;24.7;;;;
441;07/06/2023;00:57:17;25.31;;;;441;07/06/2023;00:58:30;25.44;;;;441;06/06/2023;01:05:58;24.67;;;;
442;07/06/2023;00:58:17;25.29;;;;442;07/06/2023;00:59:30;25.44;;;;442;06/06/2023;01:06:58;24.67;;;;
443;07/06/2023;00:59:17;25.3;;;;443;07/06/2023;01:00:29;25.45;;;;443;06/06/2023;01:07:58;24.69;;;;
444;07/06/2023;01:00:17;25.3;;;;444;07/06/2023;01:01:29;25.45;;;;444;06/06/2023;01:08:58;24.7;;;;
445;07/06/2023;01:01:17;25.3;;;;445;07/06/2023;01:02:29;25.45;;;;445;06/06/2023;01:09:59;24.68;;;;
446;07/06/2023;01:02:17;25.3;;;;446;07/06/2023;01:03:29;25.46;;;;446;06/06/2023;01:10:59;24.66;;;;
447;07/06/2023;01:03:17;25.29;;;;447;07/06/2023;01:04:29;25.45;;;;447;06/06/2023;01:11:59;24.68;;;;
448;07/06/2023;01:04:17;25.29;;;;448;07/06/2023;01:05:29;25.41;;;;448;06/06/2023;01:12:59;24.69;;;;
449;07/06/2023;01:05:17;25.29;;;;449;07/06/2023;01:06:29;25.41;;;;449;06/06/2023;01:13:59;24.68;;;;
450;07/06/2023;01:06:17;25.28;;;;450;07/06/2023;01:07:29;25.43;;;;450;06/06/2023;01:14:59;24.67;;;;
451;07/06/2023;01:07:17;25.27;;;;451;07/06/2023;01:08:29;25.44;;;;451;06/06/2023;01:15:59;24.68;;;;
452;07/06/2023;01:08:17;25.27;;;;452;07/06/2023;01:09:29;25.41;;;;452;06/06/2023;01:16:59;24.66;;;;
453;07/06/2023;01:09:17;25.25;;;;453;07/06/2023;01:10:29;25.41;;;;453;06/06/2023;01:17:59;24.68;;;;
454;07/06/2023;01:10:17;25.29;;;;454;07/06/2023;01:11:29;25.41;;;;454;06/06/2023;01:18:59;24.67;;;;
455;07/06/2023;01:11:17;25.27;;;;455;07/06/2023;01:12:29;25.41;;;;455;06/06/2023;01:19:59;24.67;;;;
456;07/06/2023;01:12:17;25.28;;;;456;07/06/2023;01:13:29;25.43;;;;456;06/06/2023;01:20:59;24.66;;;;
457;07/06/2023;01:13:17;25.28;;;;457;07/06/2023;01:14:29;25.4;;;;457;06/06/2023;01:21:59;24.66;;;;
458;07/06/2023;01:14:17;25.28;;;;458;07/06/2023;01:15:29;25.41;;;;458;06/06/2023;01:22:59;24.66;;;;
459;07/06/2023;01:15:17;25.27;;;;459;07/06/2023;01:16:29;25.43;;;;459;06/06/2023;01:23:59;24.67;;;;
460;07/06/2023;01:16:17;25.27;;;;460;07/06/2023;01:17:28;25.43;;;;460;06/06/2023;01:24:59;24.67;;;;
461;07/06/2023;01:17:17;25.26;;;;461;07/06/2023;01:18:28;25.41;;;;461;06/06/2023;01:25:59;24.68;;;;
462;07/06/2023;01:18:17;25.28;;;;462;07/06/2023;01:19:28;25.41;;;;462;06/06/2023;01:26:59;24.68;;;;
463;07/06/2023;01:19:17;25.25;;;;463;07/06/2023;01:20:28;25.43;;;;463;06/06/2023;01:28:00;24.66;;;;
464;07/06/2023;01:20:17;25.26;;;;464;07/06/2023;01:21:28;25.4;;;;464;06/06/2023;01:29:00;24.67;;;;
465;07/06/2023;01:21:17;25.26;;;;465;07/06/2023;01:22:28;25.4;;;;465;06/06/2023;01:30:00;24.66;;;;
466;07/06/2023;01:22:17;25.27;;;;466;07/06/2023;01:23:28;25.4;;;;466;06/06/2023;01:31:00;24.66;;;;
467;07/06/2023;01:23:17;25.24;;;;467;07/06/2023;01:24:28;25.37;;;;467;06/06/2023;01:32:00;24.67;;;;
468;07/06/2023;01:24:17;25.25;;;;468;07/06/2023;01:25:28;25.4;;;;468;06/06/2023;01:33:00;24.69;;;;
469;07/06/2023;01:25:17;25.24;;;;469;07/06/2023;01:26:28;25.39;;;;469;06/06/2023;01:34:00;24.66;;;;
470;07/06/2023;01:26:17;25.26;;;;470;07/06/2023;01:27:28;25.4;;;;470;06/06/2023;01:35:00;24.66;;;;
471;07/06/2023;01:27:17;25.25;;;;471;07/06/2023;01:28:28;25.39;;;;471;06/06/2023;01:36:00;24.67;;;;
472;07/06/2023;01:28:17;25.26;;;;472;07/06/2023;01:29:28;25.38;;;;472;06/06/2023;01:37:00;24.65;;;;
473;07/06/2023;01:29:17;25.24;;;;473;07/06/2023;01:30:28;25.4;;;;473;06/06/2023;01:38:00;24.67;;;;
474;07/06/2023;01:30:17;25.23;;;;474;07/06/2023;01:31:28;25.38;;;;474;06/06/2023;01:39:00;24.66;Synchronized;;;
475;07/06/2023;01:31:17;25.23;;;;475;07/06/2023;01:32:28;25.41;;;;475;06/06/2023;01:40:00;24.67;;;;
476;07/06/2023;01:32:17;25.24;;;;476;07/06/2023;01:33:28;25.39;;;;476;06/06/2023;01:41:00;24.66;;;;
477;07/06/2023;01:33:17;25.23;Synchronized;;;477;07/06/2023;01:34:27;25.39;;;;477;06/06/2023;01:42:00;24.66;;;;
478;07/06/2023;01:34:17;25.24;;;;478;07/06/2023;01:35:27;25.4;;;;478;06/06/2023;01:43:00;24.66;;;;
479;07/06/2023;01:35:17;25.27;;;;479;07/06/2023;01:36:27;25.39;;;;479;06/06/2023;01:44:00;24.66;;;;
480;07/06/2023;01:36:17;25.24;;;;480;07/06/2023;01:37:27;25.39;;;;480;06/06/2023;01:45:01;24.66;;;;
481;07/06/2023;01:37:17;25.25;;;;481;07/06/2023;01:38:27;25.39;;;;481;06/06/2023;01:46:01;24.64;;;;
482;07/06/2023;01:38:17;25.26;;;;482;07/06/2023;01:39:27;25.38;;;;482;06/06/2023;01:47:01;24.66;;;;
483;07/06/2023;01:39:17;25.27;;;;483;07/06/2023;01:40:27;25.4;;;;483;06/06/2023;01:48:01;24.66;;;;
484;07/06/2023;01:40:17;25.24;;;;484;07/06/2023;01:41:27;25.41;;;;484;06/06/2023;01:49:01;24.66;;;;
485;07/06/2023;01:41:17;25.26;;;;485;07/06/2023;01:42:27;25.39;;;;485;06/06/2023;01:50:01;24.67;;;;
486;07/06/2023;01:42:17;25.23;;;;486;07/06/2023;01:43:27;25.41;;;;486;06/06/2023;01:51:01;24.65;;;;
487;07/06/2023;01:43:17;25.24;;;;487;07/06/2023;01:44:27;25.4;;;;487;06/06/2023;01:52:01;24.66;;;;
488;07/06/2023;01:44:17;25.23;;;;488;07/06/2023;01:45:27;25.39;;;;488;06/06/2023;01:53:01;24.66;;;;
489;07/06/2023;01:45:17;25.27;;;;489;07/06/2023;01:46:27;25.39;;;;489;06/06/2023;01:54:01;24.65;;;;
490;07/06/2023;01:46:17;25.26;;;;490;07/06/2023;01:47:27;25.39;;;;490;06/06/2023;01:55:01;24.66;;;;
491;07/06/2023;01:47:17;25.25;;;;491;07/06/2023;01:48:27;25.4;;;;491;06/06/2023;01:56:01;24.65;;;;
492;07/06/2023;01:48:17;25.23;;;;492;07/06/2023;01:49:27;25.41;;;;492;06/06/2023;01:57:01;24.66;;;;
493;07/06/2023;01:49:17;25.23;;;;493;07/06/2023;01:50:27;25.4;;;;493;06/06/2023;01:58:01;24.65;;;;
494;07/06/2023;01:50:17;25.23;;;;494;07/06/2023;01:51:26;25.38;;;;494;06/06/2023;01:59:01;24.66;;;;
495;07/06/2023;01:51:17;25.25;;;;495;07/06/2023;01:52:26;25.39;;;;495;06/06/2023;02:00:01;24.66;;;;
496;07/06/2023;01:52:17;25.25;;;;496;07/06/2023;01:53:26;25.39;;;;496;06/06/2023;02:01:02;24.66;;;;
497;07/06/2023;01:53:17;25.22;;;;497;07/06/2023;01:54:26;25.39;;;;497;06/06/2023;02:02:02;24.66;;;;
498;07/06/2023;01:54:17;25.23;;;;498;07/06/2023;01:55:26;25.38;;;;498;06/06/2023;02:03:02;24.63;;;;
499;07/06/2023;01:55:17;25.23;;;;499;07/06/2023;01:56:26;25.38;;;;499;06/06/2023;02:04:02;24.64;;;;
500;07/06/2023;01:56:17;25.23;;;;500;07/06/2023;01:57:26;25.38;;;;500;06/06/2023;02:05:02;24.65;;;;
501;07/06/2023;01:57:17;25.23;;;;501;07/06/2023;01:58:26;25.38;;;;501;06/06/2023;02:06:02;24.64;;;;
502;07/06/2023;01:58:17;25.23;;;;502;07/06/2023;01:59:26;25.4;;;;502;06/06/2023;02:07:02;24.67;;;;
503;07/06/2023;01:59:17;25.23;;;;503;07/06/2023;02:00:26;25.39;;;;503;06/06/2023;02:08:02;24.65;;;;
504;07/06/2023;02:00:17;25.24;;;;504;07/06/2023;02:01:26;25.38;;;;504;06/06/2023;02:09:02;24.64;;;;
505;07/06/2023;02:01:17;25.24;;;;505;07/06/2023;02:02:26;25.38;;;;505;06/06/2023;02:10:02;24.64;;;;
506;07/06/2023;02:02:17;25.23;;;;506;07/06/2023;02:03:26;25.4;;;;506;06/06/2023;02:11:02;24.64;;;;
507;07/06/2023;02:03:17;25.22;;;;507;07/06/2023;02:04:26;25.38;;;;507;06/06/2023;02:12:02;24.67;;;;
508;07/06/2023;02:04:17;25.23;;;;508;07/06/2023;02:05:26;25.38;;;;508;06/06/2023;02:13:02;24.64;;;;
509;07/06/2023;02:05:17;25.22;;;;509;07/06/2023;02:06:26;25.38;;;;509;06/06/2023;02:14:02;24.65;;;;
510;07/06/2023;02:06:17;25.21;;;;510;07/06/2023;02:07:26;25.38;;;;510;06/06/2023;02:15:02;24.65;;;;
511;07/06/2023;02:07:17;25.22;;;;511;07/06/2023;02:08:25;25.37;;;;511;06/06/2023;02:16:02;24.64;;;;
512;07/06/2023;02:08:17;25.23;;;;512;07/06/2023;02:09:25;25.37;;;;512;06/06/2023;02:17:03;24.64;;;;
513;07/06/2023;02:09:17;25.21;;;;513;07/06/2023;02:10:25;25.37;;;;513;06/06/2023;02:18:03;24.66;;;;
514;07/06/2023;02:10:17;25.2;;;;514;07/06/2023;02:11:25;25.36;;;;514;06/06/2023;02:19:03;24.64;;;;
515;07/06/2023;02:11:17;25.22;;;;515;07/06/2023;02:12:25;25.35;;;;515;06/06/2023;02:20:03;24.65;;;;
516;07/06/2023;02:12:17;25.21;;;;516;07/06/2023;02:13:25;25.36;;;;516;06/06/2023;02:21:03;24.66;;;;
517;07/06/2023;02:13:17;25.22;;;;517;07/06/2023;02:14:25;25.35;;;;517;06/06/2023;02:22:03;24.63;;;;
518;07/06/2023;02:14:17;25.22;;;;518;07/06/2023;02:15:25;25.37;;;;518;06/06/2023;02:23:03;24.65;;;;
519;07/06/2023;02:15:17;25.22;;;;519;07/06/2023;02:16:25;25.37;;;;519;06/06/2023;02:24:03;24.63;;;;
520;07/06/2023;02:16:17;25.18;;;;520;07/06/2023;02:17:25;25.36;;;;520;06/06/2023;02:25:03;24.66;;;;
521;07/06/2023;02:17:17;25.19;;;;521;07/06/2023;02:18:25;25.36;;;;521;06/06/2023;02:26:03;24.64;;;;
522;07/06/2023;02:18:17;25.2;;;;522;07/06/2023;02:19:25;25.36;;;;522;06/06/2023;02:27:03;24.65;;;;
523;07/06/2023;02:19:17;25.22;;;;523;07/06/2023;02:20:25;25.37;;;;523;06/06/2023;02:28:03;24.64;;;;
524;07/06/2023;02:20:17;25.22;;;;524;07/06/2023;02:21:25;25.35;;;;524;06/06/2023;02:29:03;24.63;;;;
525;07/06/2023;02:21:17;25.2;;;;525;07/06/2023;02:22:25;25.37;;;;525;06/06/2023;02:30:03;24.64;;;;
526;07/06/2023;02:22:17;25.22;;;;526;07/06/2023;02:23:25;25.36;;;;526;06/06/2023;02:31:03;24.63;;;;
527;07/06/2023;02:23:17;25.22;;;;527;07/06/2023;02:24:25;25.35;;;;527;06/06/2023;02:32:03;24.63;;;;
528;07/06/2023;02:24:17;25.21;;;;528;07/06/2023;02:25:25;25.37;;;;528;06/06/2023;02:33:03;24.64;;;;
529;07/06/2023;02:25:17;25.19;;;;529;07/06/2023;02:26:24;25.35;;;;529;06/06/2023;02:34:04;24.64;;;;
530;07/06/2023;02:26:17;25.19;;;;530;07/06/2023;02:27:24;25.35;;;;530;06/06/2023;02:35:04;24.65;;;;
531;07/06/2023;02:27:17;25.19;;;;531;07/06/2023;02:28:24;25.35;;;;531;06/06/2023;02:36:04;24.65;;;;
532;07/06/2023;02:28:17;25.2;;;;532;07/06/2023;02:29:24;25.34;;;;532;06/06/2023;02:37:04;24.63;;;;
533;07/06/2023;02:29:17;25.23;;;;533;07/06/2023;02:30:24;25.36;;;;533;06/06/2023;02:38:04;24.64;;;;
534;07/06/2023;02:30:17;25.18;;;;534;07/06/2023;02:31:24;25.34;;;;534;06/06/2023;02:39:04;24.66;;;;
535;07/06/2023;02:31:17;25.21;;;;535;07/06/2023;02:32:24;25.34;;;;535;06/06/2023;02:40:04;24.64;;;;
536;07/06/2023;02:32:17;25.19;;;;536;07/06/2023;02:33:24;25.34;;;;536;06/06/2023;02:41:04;24.63;;;;
537;07/06/2023;02:33:17;25.19;;;;537;07/06/2023;02:34:24;25.35;;;;537;06/06/2023;02:42:04;24.66;;;;
538;07/06/2023;02:34:17;25.19;;;;538;07/06/2023;02:35:24;25.35;;;;538;06/06/2023;02:43:04;24.65;;;;
539;07/06/2023;02:35:17;25.19;;;;539;07/06/2023;02:36:24;25.34;;;;539;06/06/2023;02:44:04;24.64;;;;
540;07/06/2023;02:36:17;25.2;;;;540;07/06/2023;02:37:24;25.32;;;;540;06/06/2023;02:45:04;24.64;;;;
541;07/06/2023;02:37:17;25.18;;;;541;07/06/2023;02:38:24;25.34;;;;541;06/06/2023;02:46:04;24.65;;;;
542;07/06/2023;02:38:17;25.17;;;;542;07/06/2023;02:39:24;25.34;;;;542;06/06/2023;02:47:04;24.65;;;;
543;07/06/2023;02:39:17;25.16;;;;543;07/06/2023;02:40:24;25.34;;;;543;06/06/2023;02:48:04;24.66;;;;
544;07/06/2023;02:40:17;25.17;;;;544;07/06/2023;02:41:24;25.33;;;;544;06/06/2023;02:49:04;24.63;;;;
545;07/06/2023;02:41:17;25.19;;;;545;07/06/2023;02:42:24;25.34;;;;545;06/06/2023;02:50:05;24.64;;;;
546;07/06/2023;02:42:17;25.17;;;;546;07/06/2023;02:43:24;25.34;;;;546;06/06/2023;02:51:05;24.64;;;;
547;07/06/2023;02:43:17;25.16;;;;547;07/06/2023;02:44:24;25.34;;;;547;06/06/2023;02:52:05;24.64;;;;
548;07/06/2023;02:44:17;25.16;;;;548;07/06/2023;02:45:23;25.33;;;;548;06/06/2023;02:53:05;24.64;;;;
549;07/06/2023;02:45:17;25.16;;;;549;07/06/2023;02:46:23;25.33;;;;549;06/06/2023;02:54:05;24.64;;;;
550;07/06/2023;02:46:17;25.16;;;;550;07/06/2023;02:47:23;25.33;;;;550;06/06/2023;02:55:05;24.64;;;;
551;07/06/2023;02:47:17;25.16;;;;551;07/06/2023;02:48:23;25.29;;;;551;06/06/2023;02:56:05;24.63;;;;
552;07/06/2023;02:48:17;25.16;;;;552;07/06/2023;02:49:23;25.33;;;;552;06/06/2023;02:57:05;24.64;;;;
553;07/06/2023;02:49:17;25.16;;;;553;07/06/2023;02:50:23;25.34;;;;553;06/06/2023;02:58:05;24.64;;;;
554;07/06/2023;02:50:17;25.18;;;;554;07/06/2023;02:51:23;25.33;;;;554;06/06/2023;02:59:05;24.63;;;;
555;07/06/2023;02:51:17;25.16;;;;555;07/06/2023;02:52:23;25.32;;;;555;06/06/2023;03:00:05;24.61;;;;
556;07/06/2023;02:52:17;25.16;;;;556;07/06/2023;02:53:23;25.32;;;;556;06/06/2023;03:01:05;24.63;;;;
557;07/06/2023;02:53:17;25.16;;;;557;07/06/2023;02:54:23;25.32;;;;557;06/06/2023;03:02:05;24.63;;;;
558;07/06/2023;02:54:17;25.16;;;;558;07/06/2023;02:55:23;25.33;;;;558;06/06/2023;03:03:05;24.61;;;;
559;07/06/2023;02:55:17;25.16;;;;559;07/06/2023;02:56:23;25.34;;;;559;06/06/2023;03:04:05;24.63;;;;
560;07/06/2023;02:56:17;25.16;;;;560;07/06/2023;02:57:23;25.33;;;;560;06/06/2023;03:05:06;24.62;;;;
561;07/06/2023;02:57:17;25.15;;;;561;07/06/2023;02:58:23;25.31;;;;561;06/06/2023;03:06:06;24.64;;;;
562;07/06/2023;02:58:17;25.16;;;;562;07/06/2023;02:59:23;25.32;;;;562;06/06/2023;03:07:06;24.63;;;;
563;07/06/2023;02:59:17;25.16;;;;563;07/06/2023;03:00:23;25.32;;;;563;06/06/2023;03:08:06;24.63;;;;
564;07/06/2023;03:00:17;25.16;;;;564;07/06/2023;03:01:23;25.33;;;;564;06/06/2023;03:09:06;24.63;;;;
565;07/06/2023;03:01:17;25.16;;;;565;07/06/2023;03:02:23;25.32;;;;565;06/06/2023;03:10:06;24.65;;;;
566;07/06/2023;03:02:17;25.15;;;;566;07/06/2023;03:03:23;25.32;;;;566;06/06/2023;03:11:06;24.63;;;;
567;07/06/2023;03:03:17;25.16;;;;567;07/06/2023;03:04:22;25.31;;;;567;06/06/2023;03:12:06;24.62;;;;
568;07/06/2023;03:04:17;25.16;;;;568;07/06/2023;03:05:22;25.32;;;;568;06/06/2023;03:13:06;24.63;;;;
569;07/06/2023;03:05:17;25.2;;;;569;07/06/2023;03:06:22;25.31;;;;569;06/06/2023;03:14:06;24.63;;;;
570;07/06/2023;03:06:17;25.16;;;;570;07/06/2023;03:07:22;25.31;;;;570;06/06/2023;03:15:06;24.65;;;;
571;07/06/2023;03:07:17;25.14;;;;571;07/06/2023;03:08:22;25.31;;;;571;06/06/2023;03:16:06;24.63;;;;
572;07/06/2023;03:08:17;25.15;;;;572;07/06/2023;03:09:22;25.31;;;;572;06/06/2023;03:17:06;24.65;;;;
573;07/06/2023;03:09:17;25.14;;;;573;07/06/2023;03:10:22;25.33;;;;573;06/06/2023;03:18:06;24.62;;;;
574;07/06/2023;03:10:17;25.15;;;;574;07/06/2023;03:11:22;25.32;Synchronized;;;574;06/06/2023;03:19:06;24.63;;;;
575;07/06/2023;03:11:17;25.14;;;;575;07/06/2023;03:12:22;25.33;;;;575;06/06/2023;03:20:06;24.63;;;;
576;07/06/2023;03:12:17;25.18;;;;576;07/06/2023;03:13:22;25.3;;;;576;06/06/2023;03:21:07;24.64;;;;
577;07/06/2023;03:13:17;25.13;;;;577;07/06/2023;03:14:22;25.32;;;;577;06/06/2023;03:22:07;24.63;;;;
578;07/06/2023;03:14:17;25.15;;;;578;07/06/2023;03:15:22;25.3;;;;578;06/06/2023;03:23:07;24.63;;;;
579;07/06/2023;03:15:17;25.16;;;;579;07/06/2023;03:16:22;25.3;;;;579;06/06/2023;03:24:07;24.63;;;;
580;07/06/2023;03:16:17;25.13;;;;580;07/06/2023;03:17:22;25.32;;;;580;06/06/2023;03:25:07;24.63;;;;
581;07/06/2023;03:17:17;25.13;;;;581;07/06/2023;03:18:22;25.31;;;;581;06/06/2023;03:26:07;24.63;;;;
582;07/06/2023;03:18:17;25.13;;;;582;07/06/2023;03:19:22;25.3;;;;582;06/06/2023;03:27:07;24.6;;;;
583;07/06/2023;03:19:17;25.13;;;;583;07/06/2023;03:20:22;25.3;;;;583;06/06/2023;03:28:07;24.66;;;;
584;07/06/2023;03:20:17;25.13;;;;584;07/06/2023;03:21:22;25.31;;;;584;06/06/2023;03:29:07;24.62;;;;
585;07/06/2023;03:21:17;25.14;;;;585;07/06/2023;03:22:22;25.3;;;;585;06/06/2023;03:30:07;24.63;;;;
586;07/06/2023;03:22:17;25.15;;;;586;07/06/2023;03:23:22;25.31;;;;586;06/06/2023;03:31:07;24.63;;;;
587;07/06/2023;03:23:17;25.14;;;;587;07/06/2023;03:24:22;25.29;;;;587;06/06/2023;03:32:07;24.62;;;;
588;07/06/2023;03:24:18;25.13;;;;588;07/06/2023;03:25:21;25.3;;;;588;06/06/2023;03:33:07;24.63;;;;
589;07/06/2023;03:25:18;25.14;;;;589;07/06/2023;03:26:21;25.31;;;;589;06/06/2023;03:34:07;24.62;;;;
590;07/06/2023;03:26:18;25.13;;;;590;07/06/2023;03:27:21;25.3;;;;590;06/06/2023;03:35:07;24.61;;;;
591;07/06/2023;03:27:18;25.14;;;;591;07/06/2023;03:28:21;25.28;;;;591;06/06/2023;03:36:07;24.63;;;;
592;07/06/2023;03:28:18;25.12;;;;592;07/06/2023;03:29:21;25.29;;;;592;06/06/2023;03:37:07;24.62;;;;
593;07/06/2023;03:29:18;25.14;;;;593;07/06/2023;03:30:21;25.28;;;;593;06/06/2023;03:38:07;24.63;;;;
594;07/06/2023;03:30:18;25.13;;;;594;07/06/2023;03:31:21;25.3;;;;594;06/06/2023;03:39:08;24.63;;;;
595;07/06/2023;03:31:18;25.12;;;;595;07/06/2023;03:32:21;25.29;;;;595;06/06/2023;03:40:08;24.62;;;;
596;07/06/2023;03:32:18;25.13;;;;596;07/06/2023;03:33:21;25.3;;;;596;06/06/2023;03:41:08;24.63;;;;
597;07/06/2023;03:33:18;25.14;;;;597;07/06/2023;03:34:21;25.28;;;;597;06/06/2023;03:42:08;24.62;;;;
