SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
64;06/06/2023;18:40:12;25.75;;;;64;06/06/2023;18:41:57;25.95;Synchronized;;;64;05/06/2023;18:48:47;25.5;;;;
65;06/06/2023;18:41:12;25.74;;;;65;06/06/2023;18:42:57;25.98;;;;65;05/06/2023;18:49:47;25.49;;;;
66;06/06/2023;18:42:12;25.75;;;;66;06/06/2023;18:43:57;25.98;;;;66;05/06/2023;18:50:47;25.49;;;;
67;06/06/2023;18:43:12;25.75;;;;67;06/06/2023;18:44:56;25.98;;;;67;05/06/2023;18:51:47;25.47;;;;
68;06/06/2023;18:44:12;25.77;;;;68;06/06/2023;18:45:56;25.98;;;;68;05/06/2023;18:52:47;25.45;;;;
69;06/06/2023;18:45:12;25.78;;;;69;06/06/2023;18:46:56;25.99;;;;69;05/06/2023;18:53:47;25.44;;;;
70;06/06/2023;18:46:12;25.78;;;;70;06/06/2023;18:47:56;26.01;;;;70;05/06/2023;18:54:47;25.44;;;;
71;06/06/2023;18:47:12;25.77;;;;71;06/06/2023;18:48:56;26.05;;;;71;05/06/2023;18:55:47;25.49;;;;
72;06/06/2023;18:48:12;25.78;;;;72;06/06/2023;18:49:56;26.06;Synchronized;;;72;05/06/2023;18:56:47;25.66;;;;
73;06/06/2023;18:49:12;25.8;;;;73;06/06/2023;18:50:56;26.05;Synchronized;;;73;05/06/2023;18:57:47;25.7;;;;
74;06/06/2023;18:50:12;25.84;;;;74;06/06/2023;18:51:56;26.09;;;;74;05/06/2023;18:58:47;25.73;;;;
75;06/06/2023;18:51:12;25.81;;;;75;06/06/2023;18:52:56;26.07;;;;75;05/06/2023;18:59:47;25.73;;;;
76;06/06/2023;18:52:12;25.85;;;;76;06/06/2023;18:53:56;26.07;;;;76;05/06/2023;19:00:47;25.7;;;;
77;06/06/2023;18:53:12;25.84;;;;77;06/06/2023;18:54:56;26.05;Synchronized;;;77;05/06/2023;19:01:47;25.69;;;;
78;06/06/2023;18:54:12;25.84;Synchronized;;;78;06/06/2023;18:55:56;26.05;;;;78;05/06/2023;19:02:47;25.66;;;;
79;06/06/2023;18:55:12;25.85;;;;79;06/06/2023;18:56:55;26.05;;;;79;05/06/2023;19:03:47;25.64;;;;
80;06/06/2023;18:56:12;25.84;;;;80;06/06/2023;18:57:55;26.03;;;;80;05/06/2023;19:04:47;25.62;;;;
81;06/06/2023;18:57:12;25.88;;;;81;06/06/2023;18:58:55;26.05;Synchronized;;;81;05/06/2023;19:05:47;25.65;;;;
82;06/06/2023;18:58:12;25.84;;;;82;06/06/2023;18:59:55;26.03;;;;82;05/06/2023;19:06:47;25.68;;;;
83;06/06/2023;18:59:12;25.85;;;;83;06/06/2023;19:00:55;26.04;Synchronized;;;83;05/06/2023;19:07:47;25.71;;;;
84;06/06/2023;19:00:12;25.88;;;;84;06/06/2023;19:01:55;26.05;Synchronized;;;84;05/06/2023;19:08:47;25.85;;;;
85;06/06/2023;19:01:12;25.87;;;;85;06/06/2023;19:02:55;25.99;;;;85;05/06/2023;19:09:47;25.88;;;;
86;06/06/2023;19:02:12;25.85;;;;86;06/06/2023;19:03:55;26;;;;86;05/06/2023;19:10:47;25.96;;;;
87;06/06/2023;19:03:12;25.86;;;;87;06/06/2023;19:04:55;26.01;;;;87;05/06/2023;19:11:47;26.03;;;;
88;06/06/2023;19:04:12;25.88;;;;88;06/06/2023;19:05:55;26.03;;;;88;05/06/2023;19:12:47;26.39;;;;
89;06/06/2023;19:05:12;25.87;;;;89;06/06/2023;19:06:55;26.04;;;;89;05/06/2023;19:13:47;26.35;;;;
90;06/06/2023;19:06:12;25.89;;;;90;06/06/2023;19:07:55;26.04;;;;90;05/06/2023;19:14:47;26.23;;;;
91;06/06/2023;19:07:12;25.88;;;;91;06/06/2023;19:08:55;26.05;;;;91;05/06/2023;19:15:47;26.13;;;;
92;06/06/2023;19:08:12;25.91;;;;92;06/06/2023;19:09:55;26.05;;;;92;05/06/2023;19:16:47;26.05;;;;
93;06/06/2023;19:09:12;25.93;;;;93;06/06/2023;19:10:55;26.06;;;;93;05/06/2023;19:17:47;25.99;;;;
