SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1A.D0;;;;;;Pill n°2;24.00.1B.19;;;;;;Pill n°3;24.00.1A.F0;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
397;12/06/2023;10:49:03;36.94;Synchronized;;;397;07/06/2023;00:05:32;25.24;;;;397;07/06/2023;00:05:54;25.45;;;;
398;12/06/2023;10:49:18;36.94;;;;398;07/06/2023;00:06:32;25.23;;;;398;07/06/2023;00:06:53;25.45;;;;
399;12/06/2023;10:49:33;36.93;;;;399;07/06/2023;00:07:32;25.23;;;;399;07/06/2023;00:07:53;25.45;;;;
400;12/06/2023;10:49:48;36.94;;;;400;07/06/2023;00:08:32;25.24;;;;400;07/06/2023;00:08:53;25.45;;;;
401;12/06/2023;10:50:03;36.95;;;;401;07/06/2023;00:09:32;25.26;;;;401;07/06/2023;00:09:53;25.46;;;;
402;12/06/2023;10:50:18;36.96;Synchronized;;;402;07/06/2023;00:10:32;25.24;;;;402;07/06/2023;00:10:53;25.45;;;;
403;12/06/2023;10:50:33;36.96;Synchronized;;;403;07/06/2023;00:11:32;25.23;;;;403;07/06/2023;00:11:53;25.45;;;;
404;12/06/2023;10:50:48;36.88;;;;404;07/06/2023;00:12:32;25.24;;;;404;07/06/2023;00:12:53;25.45;;;;
405;12/06/2023;10:51:03;36.86;;;;405;07/06/2023;00:13:32;25.23;Synchronized;;;405;07/06/2023;00:13:53;25.44;;;;
406;12/06/2023;10:51:18;36.87;;;;406;07/06/2023;00:14:32;25.23;;;;406;07/06/2023;00:14:53;25.44;;;;
407;12/06/2023;10:51:33;36.88;;;;407;07/06/2023;00:15:32;25.21;;;;407;07/06/2023;00:15:52;25.44;;;;
408;12/06/2023;10:51:48;36.88;;;;408;07/06/2023;00:16:32;25.24;;;;408;07/06/2023;00:16:52;25.44;;;;
409;12/06/2023;10:52:03;36.9;Synchronized;;;409;07/06/2023;00:17:32;25.24;;;;409;07/06/2023;00:17:52;25.43;;;;
410;12/06/2023;10:52:18;36.9;Synchronized;;;410;07/06/2023;00:18:32;25.25;;;;410;07/06/2023;00:18:52;25.44;;;;
411;12/06/2023;10:52:33;36.92;Synchronized;;;411;07/06/2023;00:19:32;25.25;;;;411;07/06/2023;00:19:52;25.44;;;;
412;12/06/2023;10:52:48;36.9;Synchronized;;;412;07/06/2023;00:20:32;25.25;;;;412;07/06/2023;00:20:52;25.42;;;;
413;12/06/2023;10:53:03;36.86;Synchronized;;;413;07/06/2023;00:21:32;25.25;;;;413;07/06/2023;00:21:52;25.42;;;;
414;12/06/2023;10:53:18;36.71;Synchronized;;;414;07/06/2023;00:22:32;25.21;;;;414;07/06/2023;00:22:52;25.42;;;;
415;12/06/2023;10:53:33;36.55;Synchronized;;;415;07/06/2023;00:23:32;25.23;;;;415;07/06/2023;00:23:52;25.43;;;;
416;12/06/2023;10:53:48;36.52;;;;416;07/06/2023;00:24:32;25.23;;;;416;07/06/2023;00:24:51;25.4;;;;
417;12/06/2023;10:54:03;36.47;;;;417;07/06/2023;00:25:31;25.21;;;;417;07/06/2023;00:25:51;25.43;;;;
418;12/06/2023;10:54:18;36.48;;;;418;07/06/2023;00:26:31;25.2;;;;418;07/06/2023;00:26:51;25.44;;;;
419;12/06/2023;10:54:33;36.5;Synchronized;;;419;07/06/2023;00:27:31;25.21;;;;419;07/06/2023;00:27:51;25.4;;;;
420;12/06/2023;10:54:48;36.53;;;;420;07/06/2023;00:28:31;25.2;;;;420;07/06/2023;00:28:51;25.42;;;;
421;12/06/2023;10:55:03;36.52;;;;421;07/06/2023;00:29:31;25.2;Synchronized;;;421;07/06/2023;00:29:51;25.4;;;;
422;12/06/2023;10:55:18;36.49;;;;422;07/06/2023;00:30:31;25.2;;;;422;07/06/2023;00:30:51;25.41;;;;
423;12/06/2023;10:55:33;36.48;;;;423;07/06/2023;00:31:31;25.18;;;;423;07/06/2023;00:31:51;25.43;;;;
424;12/06/2023;10:55:48;36.48;;;;424;07/06/2023;00:32:31;25.2;;;;424;07/06/2023;00:32:51;25.41;;;;
425;12/06/2023;10:56:03;36.48;;;;425;07/06/2023;00:33:31;25.2;;;;425;07/06/2023;00:33:50;25.41;;;;
426;12/06/2023;10:56:18;36.52;;;;426;07/06/2023;00:34:31;25.2;Synchronized;;;426;07/06/2023;00:34:50;25.42;;;;
427;12/06/2023;10:56:33;36.53;;;;427;07/06/2023;00:35:31;25.19;;;;427;07/06/2023;00:35:50;25.38;;;;
428;12/06/2023;10:56:48;36.54;;;;428;07/06/2023;00:36:31;25.2;;;;428;07/06/2023;00:36:50;25.4;;;;
429;12/06/2023;10:57:03;36.56;;;;429;07/06/2023;00:37:31;25.2;Synchronized;;;429;07/06/2023;00:37:50;25.39;Synchronized;;;
430;12/06/2023;10:57:18;36.55;;;;430;07/06/2023;00:38:31;25.21;;;;430;07/06/2023;00:38:50;25.41;;;;
431;12/06/2023;10:57:33;36.57;;;;431;07/06/2023;00:39:31;25.2;Synchronized;;;431;07/06/2023;00:39:50;25.39;;;;
432;12/06/2023;10:57:48;36.58;;;;432;07/06/2023;00:40:31;25.23;;;;432;07/06/2023;00:40:50;25.39;;;;
433;12/06/2023;10:58:03;36.61;;;;433;07/06/2023;00:41:31;25.2;;;;433;07/06/2023;00:41:50;25.41;;;;
434;12/06/2023;10:58:18;36.61;;;;434;07/06/2023;00:42:31;25.2;;;;434;07/06/2023;00:42:49;25.4;;;;
435;12/06/2023;10:58:33;36.6;;;;435;07/06/2023;00:43:31;25.18;Synchronized;;;435;07/06/2023;00:43:49;25.39;;;;
436;12/06/2023;10:58:48;36.62;;;;436;07/06/2023;00:44:31;25.18;;;;436;07/06/2023;00:44:49;25.4;;;;
437;12/06/2023;10:59:03;36.59;;;;437;07/06/2023;00:45:31;25.19;;;;437;07/06/2023;00:45:49;25.38;;;;
438;12/06/2023;10:59:18;36.6;;;;438;07/06/2023;00:46:31;25.18;Synchronized;;;438;07/06/2023;00:46:49;25.39;;;;
439;12/06/2023;10:59:33;36.62;;;;439;07/06/2023;00:47:31;25.16;;;;439;07/06/2023;00:47:49;25.38;;;;
440;12/06/2023;10:59:48;36.62;;;;440;07/06/2023;00:48:31;25.16;;;;440;07/06/2023;00:48:49;25.38;;;;
441;12/06/2023;11:00:03;36.62;;;;441;07/06/2023;00:49:31;25.17;Synchronized;;;441;07/06/2023;00:49:49;25.38;;;;
442;12/06/2023;11:00:18;36.65;;;;442;07/06/2023;00:50:31;25.17;;;;442;07/06/2023;00:50:49;25.37;;;;
443;12/06/2023;11:00:33;36.63;;;;443;07/06/2023;00:51:31;25.19;;;;443;07/06/2023;00:51:48;25.37;;;;
444;12/06/2023;11:00:48;36.62;;;;444;07/06/2023;00:52:31;25.17;;;;444;07/06/2023;00:52:48;25.38;;;;
445;12/06/2023;11:01:03;36.61;;;;445;07/06/2023;00:53:31;25.18;;;;445;07/06/2023;00:53:48;25.36;;;;
446;12/06/2023;11:01:18;36.63;;;;446;07/06/2023;00:54:31;25.17;Synchronized;;;446;07/06/2023;00:54:48;25.4;;;;
447;12/06/2023;11:01:33;36.63;;;;447;07/06/2023;00:55:31;25.16;Synchronized;;;447;07/06/2023;00:55:48;25.37;;;;
448;12/06/2023;11:01:48;36.63;;;;448;07/06/2023;00:56:31;25.19;;;;448;07/06/2023;00:56:48;25.38;;;;
449;12/06/2023;11:02:03;36.66;;;;449;07/06/2023;00:57:31;25.17;;;;449;07/06/2023;00:57:48;25.36;;;;
450;12/06/2023;11:02:18;36.69;;;;450;07/06/2023;00:58:31;25.16;;;;450;07/06/2023;00:58:48;25.37;Synchronized;;;
451;12/06/2023;11:02:33;36.7;;;;451;07/06/2023;00:59:31;25.13;;;;451;07/06/2023;00:59:48;25.37;;;;
452;12/06/2023;11:02:48;36.7;;;;452;07/06/2023;01:00:31;25.16;;;;452;07/06/2023;01:00:47;25.36;;;;
453;12/06/2023;11:03:03;36.71;;;;453;07/06/2023;01:01:31;25.16;;;;453;07/06/2023;01:01:47;25.37;;;;
454;12/06/2023;11:03:18;36.7;;;;454;07/06/2023;01:02:31;25.18;;;;454;07/06/2023;01:02:47;25.37;;;;
455;12/06/2023;11:03:33;36.71;;;;455;07/06/2023;01:03:31;25.16;;;;455;07/06/2023;01:03:47;25.36;;;;
456;12/06/2023;11:03:48;36.73;;;;456;07/06/2023;01:04:31;25.16;;;;456;07/06/2023;01:04:47;25.36;;;;
457;12/06/2023;11:04:03;36.75;Synchronized;;;457;07/06/2023;01:05:31;25.16;;;;457;07/06/2023;01:05:47;25.36;;;;
458;12/06/2023;11:04:18;36.76;;;;458;07/06/2023;01:06:31;25.16;;;;458;07/06/2023;01:06:47;25.35;;;;
459;12/06/2023;11:04:33;36.78;;;;459;07/06/2023;01:07:30;25.16;;;;459;07/06/2023;01:07:47;25.37;;;;
460;12/06/2023;11:04:48;36.82;;;;460;07/06/2023;01:08:30;25.14;;;;460;07/06/2023;01:08:47;25.36;;;;
461;12/06/2023;11:05:03;36.79;Synchronized;;;461;07/06/2023;01:09:30;25.15;;;;461;07/06/2023;01:09:46;25.37;;;;
462;12/06/2023;11:05:18;36.8;;;;462;07/06/2023;01:10:30;25.13;;;;462;07/06/2023;01:10:46;25.35;;;;
463;12/06/2023;11:05:33;36.83;;;;463;07/06/2023;01:11:30;25.14;;;;463;07/06/2023;01:11:46;25.34;;;;
464;12/06/2023;11:05:48;36.83;;;;464;07/06/2023;01:12:30;25.12;;;;464;07/06/2023;01:12:46;25.36;;;;
465;12/06/2023;11:06:03;36.84;;;;465;07/06/2023;01:13:30;25.13;;;;465;07/06/2023;01:13:46;25.34;;;;
466;12/06/2023;11:06:18;36.84;;;;466;07/06/2023;01:14:30;25.15;;;;466;07/06/2023;01:14:46;25.34;;;;
467;12/06/2023;11:06:33;36.88;;;;467;07/06/2023;01:15:30;25.15;;;;467;07/06/2023;01:15:46;25.34;;;;
468;12/06/2023;11:06:48;36.91;;;;468;07/06/2023;01:16:30;25.13;;;;468;07/06/2023;01:16:46;25.35;;;;
469;12/06/2023;11:07:03;36.94;;;;469;07/06/2023;01:17:30;25.09;;;;469;07/06/2023;01:17:46;25.34;;;;
470;12/06/2023;11:07:18;36.95;;;;470;07/06/2023;01:18:30;25.13;Synchronized;;;470;07/06/2023;01:18:45;25.34;;;;
471;12/06/2023;11:07:33;36.98;;;;471;07/06/2023;01:19:30;25.11;;;;471;07/06/2023;01:19:45;25.34;;;;
472;12/06/2023;11:07:48;36.98;;;;472;07/06/2023;01:20:30;25.13;;;;472;07/06/2023;01:20:45;25.34;;;;
473;12/06/2023;11:08:03;36.99;;;;473;07/06/2023;01:21:30;25.13;;;;473;07/06/2023;01:21:45;25.34;;;;
474;12/06/2023;11:08:18;37.01;;;;474;07/06/2023;01:22:30;25.11;;;;474;07/06/2023;01:22:45;25.32;;;;
475;12/06/2023;11:08:33;37.03;;;;475;07/06/2023;01:23:30;25.11;;;;475;07/06/2023;01:23:45;25.33;;;;
476;12/06/2023;11:08:48;37.02;;;;476;07/06/2023;01:24:30;25.13;;;;476;07/06/2023;01:24:45;25.34;;;;
477;12/06/2023;11:09:03;37.03;;;;477;07/06/2023;01:25:30;25.09;Synchronized;;;477;07/06/2023;01:25:45;25.32;;;;
478;12/06/2023;11:09:18;37.06;;;;478;07/06/2023;01:26:30;25.11;;;;478;07/06/2023;01:26:45;25.34;;;;
479;12/06/2023;11:09:33;37.05;;;;479;07/06/2023;01:27:30;25.11;;;;479;07/06/2023;01:27:44;25.32;;;;
480;12/06/2023;11:09:48;37.05;;;;480;07/06/2023;01:28:30;25.11;Synchronized;;;480;07/06/2023;01:28:44;25.34;;;;
481;12/06/2023;11:10:03;37.08;;;;481;07/06/2023;01:29:30;25.09;;;;481;07/06/2023;01:29:44;25.32;;;;
482;12/06/2023;11:10:18;37.09;;;;482;07/06/2023;01:30:30;25.09;;;;482;07/06/2023;01:30:44;25.31;;;;
483;12/06/2023;11:10:33;37.11;;;;483;07/06/2023;01:31:30;25.13;;;;483;07/06/2023;01:31:44;25.32;;;;
484;12/06/2023;11:10:48;37.1;;;;484;07/06/2023;01:32:30;25.09;;;;484;07/06/2023;01:32:44;25.31;;;;
485;12/06/2023;11:11:03;37.13;;;;485;07/06/2023;01:33:30;25.12;Synchronized;;;485;07/06/2023;01:33:44;25.33;;;;
486;12/06/2023;11:11:18;37.13;;;;486;07/06/2023;01:34:30;25.11;Synchronized;;;486;07/06/2023;01:34:44;25.33;;;;
487;12/06/2023;11:11:33;37.12;;;;487;07/06/2023;01:35:30;25.12;;;;487;07/06/2023;01:35:43;25.32;;;;
488;12/06/2023;11:11:48;37.16;;;;488;07/06/2023;01:36:30;25.09;;;;488;07/06/2023;01:36:43;25.3;;;;
489;12/06/2023;11:12:03;37.16;;;;489;07/06/2023;01:37:30;25.08;Synchronized;;;489;07/06/2023;01:37:43;25.31;;;;
490;12/06/2023;11:12:18;37.18;;;;490;07/06/2023;01:38:30;25.12;;;;490;07/06/2023;01:38:43;25.31;;;;
491;12/06/2023;11:12:33;37.19;;;;491;07/06/2023;01:39:30;25.11;;;;491;07/06/2023;01:39:43;25.3;;;;
492;12/06/2023;11:12:48;37.2;;;;492;07/06/2023;01:40:30;25.11;;;;492;07/06/2023;01:40:43;25.32;;;;
493;12/06/2023;11:13:03;37.2;;;;493;07/06/2023;01:41:30;25.12;Synchronized;;;493;07/06/2023;01:41:43;25.32;;;;
494;12/06/2023;11:13:18;37.22;;;;494;07/06/2023;01:42:30;25.11;;;;494;07/06/2023;01:42:43;25.33;;;;
495;12/06/2023;11:13:33;37.23;;;;495;07/06/2023;01:43:30;25.12;Synchronized;;;495;07/06/2023;01:43:43;25.31;;;;
496;12/06/2023;11:13:48;37.21;;;;496;07/06/2023;01:44:30;25.11;;;;496;07/06/2023;01:44:42;25.32;;;;
497;12/06/2023;11:14:03;37.23;;;;497;07/06/2023;01:45:30;25.13;;;;497;07/06/2023;01:45:42;25.34;;;;
498;12/06/2023;11:14:18;37.22;;;;498;07/06/2023;01:46:30;25.09;;;;498;07/06/2023;01:46:42;25.32;;;;
499;12/06/2023;11:14:33;37.23;;;;499;07/06/2023;01:47:30;25.09;;;;499;07/06/2023;01:47:42;25.3;;;;
500;12/06/2023;11:14:48;37.23;Synchronized;;;500;07/06/2023;01:48:30;25.11;Synchronized;;;500;07/06/2023;01:48:42;25.33;;;;
501;12/06/2023;11:15:03;37.24;;;;501;07/06/2023;01:49:29;25.13;;;;501;07/06/2023;01:49:42;25.31;;;;
502;12/06/2023;11:15:18;37.24;;;;502;07/06/2023;01:50:29;25.09;;;;502;07/06/2023;01:50:42;25.32;;;;
503;12/06/2023;11:15:33;37.24;Synchronized;;;503;07/06/2023;01:51:29;25.12;;;;503;07/06/2023;01:51:42;25.33;;;;
504;12/06/2023;11:15:48;37.23;;;;504;07/06/2023;01:52:29;25.12;;;;504;07/06/2023;01:52:42;25.32;;;;
505;12/06/2023;11:16:03;37.25;;;;505;07/06/2023;01:53:29;25.09;;;;505;07/06/2023;01:53:41;25.31;;;;
506;12/06/2023;11:16:18;37.25;;;;506;07/06/2023;01:54:29;25.09;;;;506;07/06/2023;01:54:41;25.31;;;;
507;12/06/2023;11:16:33;37.27;;;;507;07/06/2023;01:55:29;25.11;Synchronized;;;507;07/06/2023;01:55:41;25.31;;;;
508;12/06/2023;11:16:48;37.25;;;;508;07/06/2023;01:56:29;25.09;;;;508;07/06/2023;01:56:41;25.3;;;;
509;12/06/2023;11:17:03;37.27;Synchronized;;;509;07/06/2023;01:57:29;25.11;;;;509;07/06/2023;01:57:41;25.31;;;;
510;12/06/2023;11:17:18;37.27;;;;510;07/06/2023;01:58:29;25.09;;;;510;07/06/2023;01:58:41;25.3;;;;
511;12/06/2023;11:17:33;37.27;;;;511;07/06/2023;01:59:29;25.13;Synchronized;;;511;07/06/2023;01:59:41;25.3;;;;
512;12/06/2023;11:17:48;37.27;;;;512;07/06/2023;02:00:29;25.09;;;;512;07/06/2023;02:00:41;25.3;;;;
513;12/06/2023;11:18:03;37.28;;;;513;07/06/2023;02:01:29;25.12;;;;513;07/06/2023;02:01:41;25.3;;;;
514;12/06/2023;11:18:18;37.28;;;;514;07/06/2023;02:02:29;25.12;;;;514;07/06/2023;02:02:41;25.3;;;;
515;12/06/2023;11:18:33;37.3;;;;515;07/06/2023;02:03:29;25.09;;;;515;07/06/2023;02:03:40;25.3;;;;
516;12/06/2023;11:18:48;37.31;;;;516;07/06/2023;02:04:29;25.13;;;;516;07/06/2023;02:04:40;25.3;;;;
517;12/06/2023;11:19:03;37.3;;;;517;07/06/2023;02:05:29;25.09;;;;517;07/06/2023;02:05:40;25.31;;;;
518;12/06/2023;11:19:18;37.3;;;;518;07/06/2023;02:06:29;25.12;;;;518;07/06/2023;02:06:40;25.31;;;;
519;12/06/2023;11:19:33;37.3;;;;519;07/06/2023;02:07:29;25.09;;;;519;07/06/2023;02:07:40;25.3;;;;
520;12/06/2023;11:19:48;37.31;;;;520;07/06/2023;02:08:29;25.08;;;;520;07/06/2023;02:08:40;25.29;Synchronized;;;
521;12/06/2023;11:20:03;37.33;;;;521;07/06/2023;02:09:29;25.07;;;;521;07/06/2023;02:09:40;25.3;;;;
522;12/06/2023;11:20:18;37.3;;;;522;07/06/2023;02:10:29;25.07;;;;522;07/06/2023;02:10:40;25.29;;;;
523;12/06/2023;11:20:33;37.34;;;;523;07/06/2023;02:11:29;25.06;;;;523;07/06/2023;02:11:40;25.27;;;;
524;12/06/2023;11:20:48;37.33;;;;524;07/06/2023;02:12:29;25.08;;;;524;07/06/2023;02:12:39;25.29;;;;
525;12/06/2023;11:21:03;37.33;;;;525;07/06/2023;02:13:29;25.09;;;;525;07/06/2023;02:13:39;25.3;;;;
526;12/06/2023;11:21:18;37.32;;;;526;07/06/2023;02:14:29;25.07;;;;526;07/06/2023;02:14:39;25.27;;;;
527;12/06/2023;11:21:33;37.34;;;;527;07/06/2023;02:15:29;25.09;;;;527;07/06/2023;02:15:39;25.3;;;;
528;12/06/2023;11:21:48;37.35;;;;528;07/06/2023;02:16:29;25.07;;;;528;07/06/2023;02:16:39;25.3;;;;
529;12/06/2023;11:22:03;37.34;;;;529;07/06/2023;02:17:29;25.09;;;;529;07/06/2023;02:17:39;25.3;;;;
530;12/06/2023;11:22:18;37.33;;;;530;07/06/2023;02:18:29;25.08;Synchronized;;;530;07/06/2023;02:18:39;25.27;;;;
531;12/06/2023;11:22:33;37.35;;;;531;07/06/2023;02:19:29;25.09;;;;531;07/06/2023;02:19:39;25.29;;;;
532;12/06/2023;11:22:48;37.35;;;;532;07/06/2023;02:20:29;25.08;Synchronized;;;532;07/06/2023;02:20:39;25.27;;;;
533;12/06/2023;11:23:03;37.34;Synchronized;;;533;07/06/2023;02:21:29;25.09;;;;533;07/06/2023;02:21:39;25.27;;;;
534;12/06/2023;11:23:18;37.35;;;;534;07/06/2023;02:22:29;25.08;;;;534;07/06/2023;02:22:38;25.3;;;;
535;12/06/2023;11:23:33;37.32;Synchronized;;;535;07/06/2023;02:23:29;25.08;;;;535;07/06/2023;02:23:38;25.27;;;;
536;12/06/2023;11:23:48;36.95;;;;536;07/06/2023;02:24:29;25.07;;;;536;07/06/2023;02:24:38;25.27;;;;
537;12/06/2023;11:24:03;35.59;;;;537;07/06/2023;02:25:29;25.05;Synchronized;;;537;07/06/2023;02:25:38;25.27;;;;
538;12/06/2023;11:24:18;33.98;;;;538;07/06/2023;02:26:29;25.05;;;;538;07/06/2023;02:26:38;25.27;;;;
539;12/06/2023;11:24:33;33.13;;;;539;07/06/2023;02:27:29;25.06;;;;539;07/06/2023;02:27:38;25.29;;;;
540;12/06/2023;11:24:48;33.16;;;;540;07/06/2023;02:28:29;25.05;;;;540;07/06/2023;02:28:38;25.27;;;;
541;12/06/2023;11:25:03;33.31;;;;541;07/06/2023;02:29:29;25.05;;;;541;07/06/2023;02:29:38;25.27;;;;
542;12/06/2023;11:25:18;33.41;;;;542;07/06/2023;02:30:29;25.05;;;;542;07/06/2023;02:30:38;25.26;;;;
543;12/06/2023;11:25:33;33.58;;;;543;07/06/2023;02:31:29;25.05;;;;543;07/06/2023;02:31:38;25.26;;;;
544;12/06/2023;11:25:48;33.75;;;;544;07/06/2023;02:32:29;25.05;;;;544;07/06/2023;02:32:37;25.26;;;;
545;12/06/2023;11:26:03;33.9;;;;545;07/06/2023;02:33:29;25.05;;;;545;07/06/2023;02:33:37;25.25;;;;
546;12/06/2023;11:26:18;34.07;;;;546;07/06/2023;02:34:29;25.03;;;;546;07/06/2023;02:34:37;25.25;;;;
547;12/06/2023;11:26:33;34.23;;;;547;07/06/2023;02:35:28;25.05;;;;547;07/06/2023;02:35:37;25.25;;;;
548;12/06/2023;11:26:48;34.37;;;;548;07/06/2023;02:36:28;25.05;;;;548;07/06/2023;02:36:37;25.24;;;;
549;12/06/2023;11:27:03;34.48;;;;549;07/06/2023;02:37:28;25.02;;;;549;07/06/2023;02:37:37;25.24;;;;
550;12/06/2023;11:27:18;34.62;;;;550;07/06/2023;02:38:28;25.03;Synchronized;;;550;07/06/2023;02:38:37;25.24;;;;
551;12/06/2023;11:27:33;34.73;;;;551;07/06/2023;02:39:28;25.02;;;;551;07/06/2023;02:39:37;25.25;;;;
552;12/06/2023;11:27:48;34.78;;;;552;07/06/2023;02:40:28;25.04;Synchronized;;;552;07/06/2023;02:40:37;25.24;;;;
553;12/06/2023;11:28:03;34.88;Synchronized;;;553;07/06/2023;02:41:28;25.05;;;;553;07/06/2023;02:41:36;25.25;;;;
554;12/06/2023;11:28:18;34.97;;;;554;07/06/2023;02:42:28;25.06;;;;554;07/06/2023;02:42:36;25.25;;;;
555;12/06/2023;11:28:33;35.09;Synchronized;;;555;07/06/2023;02:43:28;25.04;;;;555;07/06/2023;02:43:36;25.23;;;;
556;12/06/2023;11:28:48;35.16;;;;556;07/06/2023;02:44:28;25.03;;;;556;07/06/2023;02:44:36;25.23;;;;
557;12/06/2023;11:29:03;35.2;;;;557;07/06/2023;02:45:28;25.05;;;;557;07/06/2023;02:45:36;25.26;;;;
558;12/06/2023;11:29:18;34.95;;;;558;07/06/2023;02:46:28;25.03;;;;558;07/06/2023;02:46:36;25.24;;;;
559;12/06/2023;11:29:33;34.4;;;;559;07/06/2023;02:47:28;25.02;;;;559;07/06/2023;02:47:36;25.26;;;;
560;12/06/2023;11:29:48;34.21;Synchronized;;;560;07/06/2023;02:48:28;25.02;;;;560;07/06/2023;02:48:36;25.23;;;;
561;12/06/2023;11:30:03;34.16;Synchronized;;;561;07/06/2023;02:49:28;25.03;Synchronized;;;561;07/06/2023;02:49:36;25.23;;;;
562;12/06/2023;11:30:18;34.22;Synchronized;;;562;07/06/2023;02:50:28;25.05;;;;562;07/06/2023;02:50:35;25.22;;;;
563;12/06/2023;11:30:33;34.15;Synchronized;;;563;07/06/2023;02:51:28;25.03;;;;563;07/06/2023;02:51:35;25.23;;;;
564;12/06/2023;11:30:48;33.97;Synchronized;;;564;07/06/2023;02:52:28;25.02;;;;564;07/06/2023;02:52:35;25.23;;;;
565;12/06/2023;11:31:03;34.01;Synchronized;;;565;07/06/2023;02:53:28;25.02;Synchronized;;;565;07/06/2023;02:53:35;25.23;;;;
566;12/06/2023;11:31:18;34.09;Synchronized;;;566;07/06/2023;02:54:28;25.04;;;;566;07/06/2023;02:54:35;25.23;;;;
567;12/06/2023;11:31:33;34.23;;;;567;07/06/2023;02:55:28;25.05;;;;567;07/06/2023;02:55:35;25.24;;;;
568;12/06/2023;11:31:48;34.37;;;;568;07/06/2023;02:56:28;25.05;Synchronized;;;568;07/06/2023;02:56:35;25.23;Synchronized;;;
569;12/06/2023;11:32:03;34.58;;;;569;07/06/2023;02:57:28;25.04;;;;569;07/06/2023;02:57:35;25.25;;;;
570;12/06/2023;11:32:18;34.82;;;;570;07/06/2023;02:58:28;25.05;;;;570;07/06/2023;02:58:35;25.23;;;;
571;12/06/2023;11:32:33;34.98;;;;571;07/06/2023;02:59:28;25.02;;;;571;07/06/2023;02:59:35;25.23;;;;
572;12/06/2023;11:32:48;35.11;;;;572;07/06/2023;03:00:28;25.03;;;;572;07/06/2023;03:00:34;25.22;;;;
573;12/06/2023;11:33:03;35.19;;;;573;07/06/2023;03:01:28;25.03;;;;573;07/06/2023;03:01:34;25.23;;;;
574;12/06/2023;11:33:18;35.28;;;;574;07/06/2023;03:02:28;25.03;;;;574;07/06/2023;03:02:34;25.24;;;;
575;12/06/2023;11:33:33;35.36;;;;575;07/06/2023;03:03:28;25.03;;;;575;07/06/2023;03:03:34;25.24;;;;
576;12/06/2023;11:33:48;35.46;;;;576;07/06/2023;03:04:28;25;;;;576;07/06/2023;03:04:34;25.22;;;;
577;12/06/2023;11:34:03;35.51;;;;577;07/06/2023;03:05:28;25.03;Synchronized;;;577;07/06/2023;03:05:34;25.23;;;;
578;12/06/2023;11:34:18;35.61;;;;578;07/06/2023;03:06:28;25.02;;;;578;07/06/2023;03:06:34;25.23;;;;
579;12/06/2023;11:34:33;35.7;;;;579;07/06/2023;03:07:28;25.01;Synchronized;;;579;07/06/2023;03:07:34;25.22;;;;
580;12/06/2023;11:34:48;35.79;;;;580;07/06/2023;03:08:28;25.02;;;;580;07/06/2023;03:08:34;25.23;;;;
581;12/06/2023;11:35:03;35.84;;;;581;07/06/2023;03:09:28;24.99;;;;581;07/06/2023;03:09:34;25.22;;;;
582;12/06/2023;11:35:18;35.81;;;;582;07/06/2023;03:10:28;25;Synchronized;;;582;07/06/2023;03:10:33;25.22;;;;
583;12/06/2023;11:35:33;35.75;;;;583;07/06/2023;03:11:28;25.01;;;;583;07/06/2023;03:11:33;25.22;;;;
584;12/06/2023;11:35:48;35.7;;;;584;07/06/2023;03:12:28;25;;;;584;07/06/2023;03:12:33;25.23;;;;
585;12/06/2023;11:36:03;35.21;;;;585;07/06/2023;03:13:28;25;Synchronized;;;585;07/06/2023;03:13:33;25.2;;;;
586;12/06/2023;11:36:18;34.87;;;;586;07/06/2023;03:14:28;25;;;;586;07/06/2023;03:14:33;25.21;;;;
587;12/06/2023;11:36:33;34.71;Synchronized;;;587;07/06/2023;03:15:28;24.98;;;;587;07/06/2023;03:15:33;25.21;;;;
588;12/06/2023;11:36:48;34.52;;;;588;07/06/2023;03:16:28;25;;;;588;07/06/2023;03:16:33;25.2;;;;
589;12/06/2023;11:37:03;34.59;;;;589;07/06/2023;03:17:28;25;Synchronized;;;589;07/06/2023;03:17:33;25.22;;;;
590;12/06/2023;11:37:18;34.66;;;;590;07/06/2023;03:18:28;25;;;;590;07/06/2023;03:18:33;25.22;;;;
591;12/06/2023;11:37:33;34.7;Synchronized;;;591;07/06/2023;03:19:28;24.99;;;;591;07/06/2023;03:19:33;25.21;;;;
592;12/06/2023;11:37:48;34.86;Synchronized;;;592;07/06/2023;03:20:28;24.99;;;;592;07/06/2023;03:20:32;25.2;;;;
593;12/06/2023;11:38:03;34.99;;;;593;07/06/2023;03:21:28;25;Synchronized;;;593;07/06/2023;03:21:32;25.2;;;;
594;12/06/2023;11:38:18;35.13;;;;594;07/06/2023;03:22:28;25.01;;;;594;07/06/2023;03:22:32;25.21;;;;
595;12/06/2023;11:38:33;34.87;;;;595;07/06/2023;03:23:28;24.98;;;;595;07/06/2023;03:23:32;25.2;;;;
596;12/06/2023;11:38:48;34.85;;;;596;07/06/2023;03:24:28;25.01;;;;596;07/06/2023;03:24:32;25.21;;;;
