SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1A.D0;;;;;;Pill n°2;24.00.1B.19;;;;;;Pill n°3;24.00.1A.F0;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
121;12/06/2023;09:40:03;36.8;;;;121;06/06/2023;19:29:40;25.91;;;;121;06/06/2023;19:30:34;26.12;;;;
122;12/06/2023;09:40:18;36.81;;;;122;06/06/2023;19:30:40;25.91;;;;122;06/06/2023;19:31:34;26.15;;;;
123;12/06/2023;09:40:33;36.8;;;;123;06/06/2023;19:31:40;25.88;;;;123;06/06/2023;19:32:34;26.13;;;;
124;12/06/2023;09:40:48;36.81;;;;124;06/06/2023;19:32:40;25.94;;;;124;06/06/2023;19:33:34;26.13;;;;
125;12/06/2023;09:41:03;36.81;;;;125;06/06/2023;19:33:40;25.92;;;;125;06/06/2023;19:34:34;26.13;Synchronized;;;
126;12/06/2023;09:41:18;36.81;;;;126;06/06/2023;19:34:40;25.91;;;;126;06/06/2023;19:35:33;26.13;;;;
127;12/06/2023;09:41:33;36.84;;;;127;06/06/2023;19:35:40;25.91;;;;127;06/06/2023;19:36:33;26.11;;;;
128;12/06/2023;09:41:48;36.84;;;;128;06/06/2023;19:36:41;25.91;;;;128;06/06/2023;19:37:33;26.13;;;;
129;12/06/2023;09:42:03;36.84;;;;129;06/06/2023;19:37:41;25.9;;;;129;06/06/2023;19:38:33;26.13;;;;
130;12/06/2023;09:42:18;36.84;Synchronized;;;130;06/06/2023;19:38:41;25.91;;;;130;06/06/2023;19:39:32;26.09;;;;
131;12/06/2023;09:42:33;36.87;;;;131;06/06/2023;19:39:41;25.89;;;;131;06/06/2023;19:40:32;26.11;;;;
132;12/06/2023;09:42:48;36.88;;;;132;06/06/2023;19:40:41;25.88;;;;132;06/06/2023;19:41:32;26.13;Synchronized;;;
133;12/06/2023;09:43:03;36.9;;;;133;06/06/2023;19:41:41;25.89;;;;133;06/06/2023;19:42:32;26.11;;;;
134;12/06/2023;09:43:18;36.91;;;;134;06/06/2023;19:42:41;25.89;;;;134;06/06/2023;19:43:32;26.13;;;;
135;12/06/2023;09:43:33;36.91;;;;135;06/06/2023;19:43:41;25.88;;;;135;06/06/2023;19:44:32;26.13;;;;
136;12/06/2023;09:43:48;36.91;Synchronized;;;136;06/06/2023;19:44:41;25.88;;;;136;06/06/2023;19:45:31;26.1;;;;
137;12/06/2023;09:44:03;36.95;;;;137;06/06/2023;19:45:41;25.87;;;;137;06/06/2023;19:46:31;26.11;;;;
138;12/06/2023;09:44:18;36.94;;;;138;06/06/2023;19:46:41;25.88;;;;138;06/06/2023;19:47:31;26.11;;;;
139;12/06/2023;09:44:33;36.96;;;;139;06/06/2023;19:47:41;25.89;;;;139;06/06/2023;19:48:31;26.11;;;;
140;12/06/2023;09:44:48;36.95;;;;140;06/06/2023;19:48:41;25.88;;;;140;06/06/2023;19:49:31;26.11;;;;
141;12/06/2023;09:45:03;36.92;;;;141;06/06/2023;19:49:41;25.87;;;;141;06/06/2023;19:50:31;26.1;;;;
142;12/06/2023;09:45:18;36.9;;;;142;06/06/2023;19:50:41;25.88;;;;142;06/06/2023;19:51:30;26.11;;;;
143;12/06/2023;09:45:33;36.9;;;;143;06/06/2023;19:51:41;25.89;;;;143;06/06/2023;19:52:30;26.1;;;;
144;12/06/2023;09:45:48;36.91;;;;144;06/06/2023;19:52:41;25.88;;;;144;06/06/2023;19:53:30;26.09;;;;
145;12/06/2023;09:46:03;36.91;;;;145;06/06/2023;19:53:41;25.89;;;;145;06/06/2023;19:54:30;26.11;;;;
146;12/06/2023;09:46:18;36.88;;;;146;06/06/2023;19:54:41;25.9;;;;146;06/06/2023;19:55:30;26.11;;;;
147;12/06/2023;09:46:33;36.9;;;;147;06/06/2023;19:55:41;25.88;;;;147;06/06/2023;19:56:30;26.09;;;;
148;12/06/2023;09:46:48;36.87;;;;148;06/06/2023;19:56:41;25.86;;;;148;06/06/2023;19:57:29;26.09;;;;
149;12/06/2023;09:47:03;36.9;;;;149;06/06/2023;19:57:41;25.9;;;;149;06/06/2023;19:58:29;26.09;;;;
150;12/06/2023;09:47:18;36.88;;;;150;06/06/2023;19:58:42;25.87;;;;150;06/06/2023;19:59:29;26.1;;;;
151;12/06/2023;09:47:33;36.87;;;;151;06/06/2023;19:59:42;25.87;;;;151;06/06/2023;20:00:29;26.09;;;;
152;12/06/2023;09:47:48;36.91;;;;152;06/06/2023;20:00:42;25.88;;;;152;06/06/2023;20:01:29;26.08;;;;
153;12/06/2023;09:48:03;36.91;;;;153;06/06/2023;20:01:42;25.88;;;;153;06/06/2023;20:02:29;26.08;;;;
154;12/06/2023;09:48:18;36.88;;;;154;06/06/2023;20:02:42;25.86;;;;154;06/06/2023;20:03:28;26.1;;;;
155;12/06/2023;09:48:33;36.91;;;;155;06/06/2023;20:03:42;25.86;;;;155;06/06/2023;20:04:28;26.07;;;;
156;12/06/2023;09:48:48;36.91;;;;156;06/06/2023;20:04:42;25.84;;;;156;06/06/2023;20:05:28;26.08;;;;
157;12/06/2023;09:49:03;36.9;;;;157;06/06/2023;20:05:42;25.82;;;;157;06/06/2023;20:06:28;26.05;;;;
158;12/06/2023;09:49:18;36.9;;;;158;06/06/2023;20:06:42;25.8;;;;158;06/06/2023;20:07:28;26.07;;;;
159;12/06/2023;09:49:33;36.91;;;;159;06/06/2023;20:07:43;25.84;;;;159;06/06/2023;20:08:28;26.05;;;;
160;12/06/2023;09:49:48;36.9;;;;160;06/06/2023;20:08:43;25.8;;;;160;06/06/2023;20:09:27;26.05;;;;
161;12/06/2023;09:50:03;36.92;;;;161;06/06/2023;20:09:43;25.82;;;;161;06/06/2023;20:10:27;26.06;;;;
162;12/06/2023;09:50:18;36.93;;;;162;06/06/2023;20:10:42;25.8;;;;162;06/06/2023;20:11:27;26.05;;;;
163;12/06/2023;09:50:33;36.94;;;;163;06/06/2023;20:11:42;25.8;;;;163;06/06/2023;20:12:27;26.03;;;;
164;12/06/2023;09:50:48;36.93;;;;164;06/06/2023;20:12:43;25.77;;;;164;06/06/2023;20:13:27;26.05;;;;
165;12/06/2023;09:51:03;36.91;;;;165;06/06/2023;20:13:43;25.8;;;;165;06/06/2023;20:14:26;26.03;;;;
166;12/06/2023;09:51:18;36.91;;;;166;06/06/2023;20:14:43;25.79;;;;166;06/06/2023;20:15:26;26.05;;;;
167;12/06/2023;09:51:33;36.92;Synchronized;;;167;06/06/2023;20:15:43;25.78;;;;167;06/06/2023;20:16:26;26.02;;;;
168;12/06/2023;09:51:48;36.92;;;;168;06/06/2023;20:16:42;25.78;;;;168;06/06/2023;20:17:26;26.02;;;;
169;12/06/2023;09:52:03;36.91;;;;169;06/06/2023;20:17:42;25.78;;;;169;06/06/2023;20:18:26;26.01;;;;
170;12/06/2023;09:52:18;36.93;Synchronized;;;170;06/06/2023;20:18:42;25.78;;;;170;06/06/2023;20:19:26;26;;;;
171;12/06/2023;09:52:33;36.92;Synchronized;;;171;06/06/2023;20:19:42;25.76;;;;171;06/06/2023;20:20:25;26.01;;;;
172;12/06/2023;09:52:48;36.92;Synchronized;;;172;06/06/2023;20:20:42;25.76;;;;172;06/06/2023;20:21:25;26;;;;
173;12/06/2023;09:53:03;36.94;Synchronized;;;173;06/06/2023;20:21:42;25.77;;;;173;06/06/2023;20:22:25;25.99;;;;
174;12/06/2023;09:53:18;36.93;;;;174;06/06/2023;20:22:42;25.76;;;;174;06/06/2023;20:23:25;25.99;;;;
175;12/06/2023;09:53:33;36.94;Synchronized;;;175;06/06/2023;20:23:42;25.76;;;;175;06/06/2023;20:24:25;25.98;;;;
176;12/06/2023;09:53:48;36.93;Synchronized;;;176;06/06/2023;20:24:42;25.75;;;;176;06/06/2023;20:25:25;25.98;;;;
177;12/06/2023;09:54:03;36.93;;;;177;06/06/2023;20:25:42;25.75;;;;177;06/06/2023;20:26:24;25.97;;;;
178;12/06/2023;09:54:18;36.92;;;;178;06/06/2023;20:26:42;25.75;;;;178;06/06/2023;20:27:24;25.99;;;;
179;12/06/2023;09:54:33;36.95;;;;179;06/06/2023;20:27:42;25.75;;;;179;06/06/2023;20:28:24;25.98;;;;
180;12/06/2023;09:54:48;36.92;;;;180;06/06/2023;20:28:42;25.73;;;;180;06/06/2023;20:29:24;25.98;Synchronized;;;
181;12/06/2023;09:55:03;36.91;Synchronized;;;181;06/06/2023;20:29:42;25.74;;;;181;06/06/2023;20:30:24;25.98;;;;
182;12/06/2023;09:55:18;36.92;Synchronized;;;182;06/06/2023;20:30:42;25.74;;;;182;06/06/2023;20:31:24;25.95;;;;
183;12/06/2023;09:55:33;36.87;;;;183;06/06/2023;20:31:42;25.73;;;;183;06/06/2023;20:32:23;25.98;;;;
184;12/06/2023;09:55:48;36.88;;;;184;06/06/2023;20:32:42;25.73;;;;184;06/06/2023;20:33:23;25.96;;;;
185;12/06/2023;09:56:03;36.86;Synchronized;;;185;06/06/2023;20:33:42;25.73;;;;185;06/06/2023;20:34:23;25.96;;;;
186;12/06/2023;09:56:18;36.84;Synchronized;;;186;06/06/2023;20:34:41;25.7;;;;186;06/06/2023;20:35:23;25.98;;;;
187;12/06/2023;09:56:33;36.83;;;;187;06/06/2023;20:35:41;25.72;;;;187;06/06/2023;20:36:23;25.95;;;;
188;12/06/2023;09:56:48;36.83;;;;188;06/06/2023;20:36:41;25.73;;;;188;06/06/2023;20:37:22;25.96;;;;
189;12/06/2023;09:57:03;36.82;;;;189;06/06/2023;20:37:41;25.72;;;;189;06/06/2023;20:38:22;25.95;;;;
190;12/06/2023;09:57:18;36.8;Synchronized;;;190;06/06/2023;20:38:41;25.71;;;;190;06/06/2023;20:39:22;25.96;;;;
191;12/06/2023;09:57:33;36.8;;;;191;06/06/2023;20:39:41;25.71;;;;191;06/06/2023;20:40:22;25.95;;;;
192;12/06/2023;09:57:48;36.81;;;;192;06/06/2023;20:40:41;25.71;;;;192;06/06/2023;20:41:22;25.95;;;;
193;12/06/2023;09:58:03;36.79;Synchronized;;;193;06/06/2023;20:41:41;25.7;;;;193;06/06/2023;20:42:22;25.91;;;;
194;12/06/2023;09:58:18;36.79;Synchronized;;;194;06/06/2023;20:42:41;25.7;;;;194;06/06/2023;20:43:22;25.93;;;;
195;12/06/2023;09:58:33;36.79;Synchronized;;;195;06/06/2023;20:43:41;25.69;;;;195;06/06/2023;20:44:21;25.92;;;;
196;12/06/2023;09:58:48;36.78;;;;196;06/06/2023;20:44:41;25.69;;;;196;06/06/2023;20:45:21;25.94;;;;
