minute_start,ecg_id,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_WR_X_CAL,Accel_WR_Y_CAL,Accel_WR_Z_CAL,Activity_Accel_Magnitude_CAL,Activity_Intensity_Raw_CAL,Activity_Intensity_Scaled_CAL,Activity_Percentage_Active_CAL,Activity_Percentage_Sedentary_CAL,Activity_Step_Count_CAL,AccelMag_std,HRV,source_file
2023-06-22 13:51:00+02:00,SL099,2.4423008191885267,3.312657427158028,2.1968732980847783,0.2500919061379869,9.151873604619638,-2.027912292340541,9.552197272625614,0.0,0.0,0.0,1.0,0.0,0.1949202469950613,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:52:00+02:00,SL099,2.5741368453299445,3.5428953549060545,2.181158947535627,0.0303263706430087,9.394685404586903,-1.7404567539845253,9.566262616231665,0.0,0.0,0.0,1.0,0.0,0.0892361074546292,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:53:00+02:00,SL099,2.331903627368277,3.315382686213265,2.014772520006384,-0.1651436469688511,9.180358545495398,-2.284191254808813,9.517769109356673,0.0,0.0,0.0,1.0,0.0,0.1512139838307222,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:54:00+02:00,SL099,1.965531719328904,2.96204659317216,2.103105549535033,-0.2712195583665687,9.18360002477182,-2.4023544786426227,9.503387500654956,0.0,0.0,0.0,1.0,0.0,0.106642486256153,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:55:00+02:00,SL099,2.447026470454752,3.360937925478805,2.166458654806209,-0.1845827414484344,9.069894891236856,-2.5920835472864496,9.487965744681413,0.0,0.0,0.0,1.0,0.0,0.1186738686735252,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:56:00+02:00,SL099,2.436064805611564,3.655732257972908,2.1400619089540798,-0.0899375014902468,8.818342798599538,-3.322668286491699,9.430559249008676,0.0,0.0,0.0,1.0,0.0,0.083554959173686,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:57:00+02:00,SL099,2.2598922547078284,3.3742319105356624,2.023776021424235,-0.1307834134707935,8.895338829209786,-3.099618403087637,9.448174109333836,0.0,0.0,0.0,1.0,0.0,0.1056842878754661,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:58:00+02:00,SL099,2.5950559999088507,3.598966878589007,2.381861840306262,-0.1585426632892843,9.318216975486376,-1.9067512517768268,9.546435101702262,0.0,0.0,0.0,1.0,0.0,0.1653835341206926,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 13:59:00+02:00,SL099,2.0576160783244744,3.430503498250874,1.9357622325201036,-0.425157365145293,9.14846946528368,-2.2097264979392137,9.514368650255337,0.0,0.0,0.0,1.0,0.0,0.161924075626379,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
2023-06-22 14:00:00+02:00,SL099,2.441108060270491,3.364378630752473,2.1513187006444587,-0.3970962814011337,9.309055432909926,-1.9738433725757707,9.530868256102698,0.0,0.0,0.0,1.0,0.0,0.085488808533286,True,2306_HeatAcc_Session70_S68D2_SL099_Activity_1min.csv
